english,translation
"If you are a German Prince player or a Foreign Power player with a province in the Empire, declare war on a player or a prince that has not been declared war on this round. If you declare war on a prince, remove all Influence you have with them.","Si eres un jugador Príncipe alemán o un jugador de Potencia extranjera con una provincia en el Imperio, declara la guerra a un jugador o príncipe que no haya sido declarado la guerra en esta ronda. Si declaras la guerra a un príncipe, elimina toda la Influencia que tengas sobre él."
"Declare Religious War","Declarar guerra religiosa"
"If there is no existing Religious War, you are saved, and in a league, declare war against a prince or elector following a heretical religion. Become the Restorer of the Faith (ROTF).","Si no existe una Guerra Religiosa, estás salvo y, en una liga, declaras la guerra contra un príncipe o elector que sigue una religión herética. Conviértete en el Restaurador de la Fe (ROTF)."
"If you are not a Foreign Power, lose all Faith, Saints, and/or Reformation Points of the opposing religion. Change the religion of your capital to your new religion. The is the only way your capital ever converts.","Si no eres una Potencia Extranjera, pierdes toda la Fe, los Santos y/o los Puntos de Reforma de la religión contraria. Cambia la religión de tu capital a tu nueva religión. Esta es la única forma en que su capital se convierte."
"Flexibility","Flexibilidad"
"Convert one unit into a different unit type.","Convierta una unidad en un tipo de unidad diferente."
"Depth","Profundidad"
"Convert one unit into two units of another type.","Convierte una unidad en dos unidades de otro tipo."
"Breadth","Amplitud"
"Convert one unit into the two other unit types.","Convierta una unidad en los otros dos tipos de unidades."
"Compete","Competir"
"If your opponent throws Cooperate, gain 3 Influence.","Si tu oponente lanza Cooperar, gana 3 de Influencia."
"Cooperate","Cooperar"
"If you are leading and your opponent throws Cooperate, gain 2 Influence. If you are following and your opponent throws Cooperate, gain 1 Influence.","Si estás liderando y tu oponente lanza Cooperar, gana 2 de Influencia. Si estás siguiendo y tu oponente lanza Cooperar, gana 1 Influencia."
"Diplomacy","Diplomacia"
"Purple","Púrpura"
"Pikemen","piqueros"
"Beats Calvary without dying. If you beat Calvary, your opponent cannot play Calvary next hand.","Vence el Calvario sin morir. Si vences a Calvary, tu oponente no podrá jugar Calvary en la siguiente mano."
"Calvary","Calvario"
"Beats Musketeers without dying. If you beat a Musketeer, defeat two more Infantry. If you only have Calvary, you lose the battle.","Vence a los mosqueteros sin morir. Si vences a un Mosquetero, derrota a dos Infanterías más. Si sólo tienes el Calvario, pierdes la batalla."
"Musketeer","Mosquetero"
"Discard the Pike and return the Musket to its owner's hand Enemy Pike but dies. Advanced Rifling: Rounds 5-6 in addition, the Player who played the Pikeman must discard an additional card of his opponent's choice.","Descarta la pica y devuelve el mosquete a la mano de su propietario. El enemigo Pike pero muere. Rifling avanzado: Además, en las rondas 5 y 6, el jugador que jugó el piquero debe descartar una carta adicional a elección de su oponente."
"War","Guerra"
"Green","Verde"
"Orange","Naranja"
"Gray","Gris"
"Pink","Rosa"
"White","Blanco"
"Brandenburg","Brandeburgo"
"Elector","Elector"
"Mainz","Maguncia"
"Cologne","Colonia"
"Trier","Tréveris"
"Baden","baden"
"Prince","Príncipe"
"Anhalt","anhalt"
"Bavaria","Baviera"
"Bohemia","Bohemia"
"Saxony","Sajonia"
"Austria","Austria"
"The Palatinate","El Palatinado"
"Nuremburg","Núremberg"
"Frankfurt","Fráncfort"
"Thuringia","Turingia"
"Ansbach","ansbach"
"Provence","Provenza"
"Prussia","Prusia"
"Trent","Trento"
"Hesse","Hesse"
"Wurttemberg","Wurtemberg"
"Alsace","Alsacia"
"Ulm","Ulma"
"Salzburg","Salsburgo"
"France","Francia"
"Foreign Power","Potencia extranjera"
"Wurzburg","Würzburg"
"Britain","Bretaña"
"Poland","Polonia"
"Milan","Milán"
"Spain","España"
"Sweden","Suecia"
"Denmark","Dinamarca"
